sample_idx,text,speaker,gender,age,expert_accuracy,expert_fluency,expert_completeness,expert_prosodic,azure_accuracy,azure_fluency,azure_completeness,azure_prosodic,diff_accuracy,diff_fluency,diff_completeness,diff_prosodic,assessment_time,recognized_text
17,MORE THAN THAT,0003,m,6,9,9,10.0,8,8.299999999999999,10.0,10.0,10.0,0.7000000000000011,1.0,0.0,2.0,2.704308032989502,More than that.
18,MY MAP WILL SHOW US,0003,m,6,9,9,10.0,7,9.6,10.0,10.0,10.0,0.5999999999999996,1.0,0.0,3.0,2.8616702556610107,My map will show us.
19,YUMMY,0003,m,6,10,10,10.0,10,9.5,10.0,10.0,10.0,0.5,0.0,0.0,0.0,2.6521153450012207,Yummy.
20,IT WAS GOOD FOR ME,0024,f,25,9,10,10.0,9,9.9,10.0,10.0,10.0,0.9000000000000004,0.0,0.0,1.0,2.6257078647613525,It was good for me.
21,WE HAVE CLIMBED ONE STEP UP THE LADDER,0024,f,25,10,10,10.0,9,8.7,9.9,8.8,9.9,1.3000000000000007,0.09999999999999964,1.1999999999999993,0.9000000000000004,2.9461076259613037,We have climbed one step up the ladder.
22,PLUS THE KIDS REALLY LIKE THE DOGS,0024,f,25,9,10,10.0,9,9.7,10.0,10.0,10.0,0.6999999999999993,0.0,0.0,1.0,2.971261501312256,"Plus, the kids really like the dogs."
23,EVEN WHEN WE LOSE IT USUALLY A VERY CLOSE GAME,0024,f,25,9,9,10.0,9,9.3,9.8,9.0,9.8,0.3000000000000007,0.8000000000000007,1.0,0.8000000000000007,3.251730442047119,"Even when we lose it, usually a very close game."
24,MOSTLY THE AMERICAN COMMUNITY IN EUROPE FOLLOWS THE GAME,0024,f,25,9,9,10.0,9,9.399999999999999,9.6,10.0,9.6,0.3999999999999986,0.5999999999999996,0.0,0.5999999999999996,7.732457160949707,Mostly the American community in Europe follows the game.
25,WHAT HE WAS TALKING ABOUT WAS SPORTS IN GENERAL,0024,f,25,9,8,10.0,9,9.5,10.0,10.0,10.0,0.5,2.0,0.0,1.0,3.284951686859131,What he was talking about was sports in general.
26,WAY TO HELP US ALL OUT,0024,f,25,9,8,10.0,8,9.399999999999999,9.8,10.0,9.8,0.3999999999999986,1.8000000000000007,0.0,1.8000000000000007,2.7835659980773926,Way to help us all out.
27,LOVELY TO MAKE YOUR ACQUAINTANCE SIR,0024,f,25,9,9,10.0,9,9.3,10.0,10.0,10.0,0.3000000000000007,1.0,0.0,1.0,3.0562102794647217,"Lovely to make your acquaintance, Sir."
28,SUCCESSFUL FIRST DAY FOR COLLEGE,0024,f,25,10,10,10.0,9,9.3,9.9,10.0,9.9,0.6999999999999993,0.09999999999999964,0.0,0.9000000000000004,2.794502019882202,Successful first day for college.
29,THIS IS A PRETTY GOOD PLACE TO START,0024,f,25,10,10,10.0,10,9.6,10.0,10.0,10.0,0.40000000000000036,0.0,0.0,0.0,2.839737892150879,This is a pretty good place to start.
30,LOVE IS A STRONG MAN IN THE MIDDLE,0024,f,25,10,10,10.0,10,9.8,10.0,10.0,10.0,0.1999999999999993,0.0,0.0,0.0,3.0498549938201904,Love is a strong man in the middle.
31,SOMEBODY LET ME KNOW WHEN IT'S OVER,0024,f,25,8,9,10.0,9,9.6,10.0,10.0,10.0,1.5999999999999996,1.0,0.0,1.0,2.87508487701416,Somebody let me know when it's over.
32,YOU PUT IT ON WRONG,0024,f,25,9,9,10.0,9,9.3,10.0,10.0,10.0,0.3000000000000007,1.0,0.0,1.0,2.9361157417297363,You put it on wrong.
33,COMPETITION IS GOOD FOR THE INDUSTRY,0024,f,25,8,9,10.0,8,9.1,10.0,10.0,10.0,1.0999999999999996,1.0,0.0,2.0,3.280855417251587,Competition is good for the industry.
34,SHE LOOKED ANXIOUSLY AT THE HOUSE AND STARTED,0024,f,25,9,9,10.0,9,9.3,9.9,10.0,9.9,0.3000000000000007,0.9000000000000004,0.0,0.9000000000000004,3.154592514038086,She looked anxiously at the house and started.
35,THEY MAY MAKE ME MORE UNHAPPY THAN I AM,0024,f,25,7,9,10.0,9,9.399999999999999,10.0,10.0,10.0,2.3999999999999986,1.0,0.0,1.0,2.9763619899749756,They may make me more unhappy than I am.
36,SHE WOULD BE SORRY FOR HIS DEATH,0024,f,25,9,9,10.0,9,9.5,10.0,10.0,10.0,0.5,1.0,0.0,1.0,4.332146167755127,She would be sorry for his death.
37,MY PEOPLE WILL BRING YOU TO THE SHIP,0024,f,25,9,9,10.0,9,9.7,10.0,10.0,10.0,0.6999999999999993,1.0,0.0,1.0,3.323763370513916,My people will bring you to the ship.
38,IT WAS A PROOF OF HIS FRIENDSHIP,0024,f,25,9,9,10.0,8,9.7,10.0,10.0,10.0,0.6999999999999993,1.0,0.0,2.0,3.0766241550445557,It was a proof of his friendship.
39,I FOUND I HAD NO NEED TO THINK,0024,f,25,9,9,10.0,8,9.6,10.0,10.0,10.0,0.5999999999999996,1.0,0.0,2.0,2.930234432220459,I found I had no need to think.
40,ANDY LIKES BROWN,0044,m,6,6,9,10.0,8,8.9,10.0,10.0,10.0,2.9000000000000004,1.0,0.0,2.0,3.75663161277771,Andy likes Brown.
41,MANDY LOVES LIVES IN AUSTRALIAN,0044,m,6,7,8,10.0,8,7.800000000000001,9.7,8.0,9.7,0.8000000000000007,1.6999999999999993,2.0,1.6999999999999993,8.19425654411316,Mandy loves lives in Australian.
42,ONE FIVE NINE NINE,0044,m,6,8,9,10.0,8,6.4,6.4,7.5,6.4,1.5999999999999996,2.5999999999999996,2.5,1.5999999999999996,3.3630783557891846,599.
43,THREE SIX FOUR SIX,0044,m,6,7,9,10.0,8,7.5,7.7,7.5,7.7,0.5,1.2999999999999998,2.5,0.2999999999999998,2.9188671112060547,3646.
44,ZERO SEVEN ZERO FOUR,0044,m,6,7,8,10.0,8,7.3,9.1,5.0,9.1,0.2999999999999998,1.0999999999999996,5.0,1.0999999999999996,3.0791842937469482,07/04.
45,EIGHT ZERO TWO,0044,m,6,9,9,10.0,8,9.0,9.9,10.0,9.9,0.0,0.9000000000000004,0.0,1.9000000000000004,3.574080228805542,802.
46,SEVEN THREE FOUR NINE,0044,m,6,8,8,10.0,7,8.7,9.399999999999999,10.0,9.399999999999999,0.6999999999999993,1.3999999999999986,0.0,2.3999999999999986,3.374868392944336,7349.
47,GLOVES PLAN GROUND,0044,m,6,7,8,10.0,7,3.2,8.299999999999999,3.3000000000000003,8.299999999999999,3.8,0.29999999999999893,6.699999999999999,1.299999999999999,4.363729953765869,Gloves plan ground.
48,LILLY LIKES BISCUIT,0044,m,6,6,7,10.0,7,8.0,5.1,10.0,5.1,2.0,1.9000000000000004,0.0,1.9000000000000004,3.088250160217285,Lilly likes Lilly Biscuit.
49,SANDY HAS A BIG ARM,0044,m,6,8,9,10.0,8,6.6000000000000005,9.9,8.0,9.9,1.3999999999999995,0.9000000000000004,2.0,1.9000000000000004,3.0469934940338135,Sandy has a big arm.
50,BY TOM'S TOOTH,0044,m,6,8,9,10.0,8,8.0,9.9,10.0,9.9,0.0,0.9000000000000004,0.0,1.9000000000000004,2.889996290206909,By Tom's Tooth.
51,MARK HAS A BEAUTIFUL SUNGLASSES,0044,m,6,7,7,10.0,6,5.4,5.6000000000000005,4.0,5.6000000000000005,1.5999999999999996,1.3999999999999995,6.0,0.39999999999999947,4.496278524398804,Mark has a beautiful sunglasses. Sunglasses.
52,LISA LAYLA GOT THE BOOTS,0044,m,6,6,6,10.0,7,6.3,7.800000000000001,6.0,7.800000000000001,0.2999999999999998,1.8000000000000007,4.0,0.8000000000000007,3.2799596786499023,Lisa Layla got the boots.
53,TEDDY THIS IS CUMBER,0044,m,6,7,7,10.0,7,6.800000000000001,7.0,10.0,7.0,0.1999999999999993,0.0,0.0,0.0,3.2346794605255127,"Teddy, this is Cumber."
54,ANDY IS DRAW THE PEA,0044,m,6,8,8,10.0,7,5.8999999999999995,10.0,4.0,10.0,2.1000000000000005,2.0,6.0,3.0,3.1208736896514893,Andy is draw the pea.
55,HANDY LIVES IN BANGKOK NOW,0044,m,6,7,7,10.0,7,7.6,8.0,8.0,8.0,0.5999999999999996,1.0,2.0,1.0,3.452261447906494,Handy lives in Bangkok now.
56,LILLY LIVES IN CAIRO NOW,0044,m,6,7,7,10.0,6,6.4,7.5,6.0,7.5,0.5999999999999996,0.5,4.0,1.5,4.461542129516602,Lilly lives in Cairo now.
57,YOU CAN PLAY WITH IT,0044,m,6,7,7,10.0,7,7.4,9.9,8.0,9.9,0.40000000000000036,2.9000000000000004,2.0,2.9000000000000004,3.119412422180176,You can play with it.
58,I'M GOING ALL WAY,0044,m,6,8,8,10.0,7,7.6,10.0,7.5,10.0,0.40000000000000036,2.0,2.5,3.0,2.785133123397827,I'm going all way.
59,LOOK THERE,0044,m,6,4,8,10.0,8,5.300000000000001,9.8,5.0,9.8,1.3000000000000007,1.8000000000000007,5.0,1.8000000000000007,2.9484775066375732,Look there.
60,MADE LIKES WHITE,0049,f,7,9,8,10.0,7,9.399999999999999,8.0,10.0,8.0,0.3999999999999986,0.0,0.0,1.0,3.199167251586914,Made likes white.
61,DORA CAN SEE THE SHEEP,0049,f,7,7,7,10.0,7,8.2,8.0,8.0,8.0,1.1999999999999993,1.0,2.0,1.0,3.524725914001465,Dora can see the sheep.
62,FOUR SIX TWO,0049,f,7,8,8,10.0,8,9.8,9.9,10.0,9.9,1.8000000000000007,1.9000000000000004,0.0,1.9000000000000004,3.301764965057373,462.
63,THREE EIGHT NINE EIGHT,0049,f,7,8,7,10.0,7,9.200000000000001,7.5,10.0,7.5,1.200000000000001,0.5,0.0,0.5,3.8467442989349365,3898.
64,NINE NINE EIGHT FIVE,0049,f,7,9,9,10.0,9,9.8,9.9,10.0,9.9,0.8000000000000007,0.9000000000000004,0.0,0.9000000000000004,2.7550179958343506,9985.
65,LOOK AT THE BIG FOOT,0049,f,7,8,8,10.0,8,9.6,9.9,10.0,9.9,1.5999999999999996,1.9000000000000004,0.0,1.9000000000000004,3.5634942054748535,Look at the Big Foot.
66,LET'S DRAW TOM'S HOW,0049,f,7,8,8,10.0,7,9.0,9.399999999999999,10.0,9.399999999999999,1.0,1.3999999999999986,0.0,2.3999999999999986,3.105811834335327,Let's draw Tom's How?
67,LOOK AT TEDDY'S,0049,f,7,8,8,10.0,8,8.299999999999999,9.6,10.0,9.6,0.29999999999999893,1.5999999999999996,0.0,1.5999999999999996,2.7631466388702393,Look at Teddy's.
68,HERE IS JOHN'S BOOTS,0049,f,7,8,8,10.0,8,6.6000000000000005,9.6,5.0,9.6,1.3999999999999995,1.5999999999999996,5.0,1.5999999999999996,6.013564348220825,Here is John's boots.
69,SANDY LIKES THE OLD MAP,0049,f,7,6,8,10.0,8,7.9,9.9,8.0,9.9,1.9000000000000004,1.9000000000000004,2.0,1.9000000000000004,3.2184231281280518,Sandy likes the old map.
70,LOOK AT BOB'S JEANS,0049,f,7,7,8,10.0,7,9.7,9.8,10.0,9.8,2.6999999999999993,1.8000000000000007,0.0,2.8000000000000007,3.05533504486084,Look at Bob's jeans.
71,MARY LIKES YOUR RED SWEATER,0049,f,7,8,8,10.0,8,9.0,9.9,8.0,9.9,1.0,1.9000000000000004,2.0,1.9000000000000004,2.9967892169952393,Mary likes your red sweater.
72,ANN WAS TALKING TO SCHOOL,0049,f,7,7,7,10.0,7,9.0,9.9,10.0,9.9,2.0,2.9000000000000004,0.0,2.9000000000000004,3.4068963527679443,Ann was talking to school.
73,MIKE LIKE THE STIR BEN,0049,f,7,8,9,10.0,8,9.3,10.0,10.0,10.0,1.3000000000000007,1.0,0.0,2.0,3.387852430343628,"Mike like the stir, Ben."
74,ANN WANT TO THE DANCE CLASS,0049,f,7,8,8,10.0,7,7.0,9.9,8.299999999999999,9.9,1.0,1.9000000000000004,1.700000000000001,2.9000000000000004,3.0062851905822754,Want to the dance class?
75,BUT IT WILL BE EXCITING,0049,f,7,9,7,10.0,7,9.6,9.8,10.0,9.8,0.5999999999999996,2.8000000000000007,0.0,2.8000000000000007,3.4974606037139893,But it will be exciting.
76,THERE WE GO,0049,f,7,9,9,10.0,8,9.5,10.0,10.0,10.0,0.5,1.0,0.0,2.0,2.9001240730285645,There we go.
77,THE RABBIT WENT IN,0049,f,7,9,8,10.0,8,8.6,9.9,10.0,9.9,0.40000000000000036,1.9000000000000004,0.0,1.9000000000000004,3.3986072540283203,The rabbit went in.
78,I LOVE OUR CAR,0049,f,7,9,8,10.0,8,9.200000000000001,9.9,10.0,9.9,0.20000000000000107,1.9000000000000004,0.0,1.9000000000000004,3.2345361709594727,I love our car.
79,JAM LOOKED IN THE KITCHEN,0049,f,7,9,7,10.0,7,9.3,9.0,10.0,9.0,0.3000000000000007,2.0,0.0,2.0,3.4153778553009033,Jam looked in the kitchen.
80,BILL LIKES YELLOW,0092,f,6,4,8,10.0,7,8.8,6.3,10.0,6.3,4.800000000000001,1.7000000000000002,0.0,0.7000000000000002,2.8442139625549316,Bill likes yellow.
81,IT ALICE OWNED,0092,f,6,8,8,10.0,8,8.6,9.3,10.0,9.3,0.5999999999999996,1.3000000000000007,0.0,1.3000000000000007,3.0280654430389404,It Alice owned.
82,IT IS A LITTLE SEA,0092,f,6,8,8,10.0,7,8.6,9.9,10.0,9.9,0.5999999999999996,1.9000000000000004,0.0,2.9000000000000004,2.7297563552856445,It is a little sea.
83,SIX FIVE TWO SEVEN,0092,f,6,8,9,10.0,8,9.8,9.8,10.0,9.8,1.8000000000000007,0.8000000000000007,0.0,1.8000000000000007,3.1064891815185547,6527.
84,FIVE SEVEN ONE THREE,0092,f,6,9,9,10.0,8,9.200000000000001,10.0,10.0,10.0,0.20000000000000107,1.0,0.0,2.0,3.2157483100891113,5713.
85,TWO TWO ZERO FOUR,0092,f,6,8,9,10.0,8,9.9,10.0,10.0,10.0,1.9000000000000004,1.0,0.0,2.0,2.7804436683654785,2204.
86,CLAUS PAST LANTERN,0092,f,6,8,8,10.0,8,8.9,10.0,10.0,10.0,0.9000000000000004,2.0,0.0,2.0,3.5432395935058594,Claus past Lantern.
87,SANDY LIKES RUNNING,0092,f,6,9,9,10.0,8,8.4,9.9,10.0,9.9,0.5999999999999996,0.9000000000000004,0.0,1.9000000000000004,3.0578384399414062,Sandy likes running.
88,HERE IS LYNDA'S PEN PARENTS,0092,f,6,8,7,10.0,7,9.0,9.5,10.0,9.5,1.0,2.5,0.0,2.5,3.473942995071411,Here is Lynda's pen parents.
89,JACK LIKES THE OLD SWEATER,0092,f,6,8,8,10.0,7,9.6,9.9,10.0,9.9,1.5999999999999996,1.9000000000000004,0.0,2.9000000000000004,3.1392767429351807,Jack likes the old sweater.
90,DOOR HAS ARE BEAUTIFUL SHIRTS,0092,f,6,8,8,10.0,8,8.7,9.9,10.0,9.9,0.6999999999999993,1.9000000000000004,0.0,1.9000000000000004,2.92551851272583,Door has are beautiful shirts.
91,MARK GOT THE T SHIRT,0092,f,6,8,8,10.0,7,8.9,8.5,10.0,8.5,0.9000000000000004,0.5,0.0,1.5,2.9389073848724365,Mark got the T-shirt.
92,SO JOHN WENT ON FOOT,0092,f,6,9,8,10.0,7,9.200000000000001,9.9,10.0,9.9,0.20000000000000107,1.9000000000000004,0.0,2.9000000000000004,5.383635759353638,So John went on foot.
93,MARY THIS IS GARDEN BEACH,0092,f,6,8,9,10.0,8,8.5,9.9,8.0,9.9,0.5,0.9000000000000004,2.0,1.9000000000000004,3.105499267578125,"Mary, this is Garden Beach."
94,SAND LIKE THE SWEET POTATO,0092,f,6,8,8,10.0,7,8.100000000000001,9.9,10.0,9.9,0.10000000000000142,1.9000000000000004,0.0,2.9000000000000004,3.193086624145508,Sand like the sweet potato.
95,MIKE LIKE THE LEEK,0092,f,6,8,8,10.0,7,8.2,9.8,10.0,9.8,0.1999999999999993,1.8000000000000007,0.0,2.8000000000000007,3.269979953765869,Mike like the leek?
96,SHE WANTS TO BE A DOCTOR,0092,f,6,8,9,10.0,8,9.6,9.9,10.0,9.9,1.5999999999999996,0.9000000000000004,0.0,1.9000000000000004,3.1194114685058594,She wants to be a doctor.
97,JOHN LIKES THE BIG SEE TRAIN NOW,0092,f,6,7,7,10.0,7,8.299999999999999,9.7,8.6,9.7,1.299999999999999,2.6999999999999993,1.4000000000000004,2.6999999999999993,3.1563680171966553,John likes the big see train now.
98,THEY NEED NEW HOMES,0092,f,6,7,8,10.0,8,6.6000000000000005,10.0,7.5,10.0,0.39999999999999947,2.0,2.5,2.0,3.304095983505249,They need new homes.
99,A GOOD MANY,0092,f,6,7,8,10.0,8,8.4,10.0,10.0,10.0,1.4000000000000004,2.0,0.0,2.0,3.4411253929138184,A good many.
100,BILLY LIKES BLUE,0093,f,6,8,8,10.0,8,9.5,9.9,10.0,9.9,1.5,1.9000000000000004,0.0,1.9000000000000004,2.763335704803467,Billy likes blue.
101,BOBBY CAN SEE THE GOAT,0093,f,6,8,7,10.0,7,8.9,10.0,10.0,10.0,0.9000000000000004,3.0,0.0,3.0,5.166088104248047,Bobby can see the goat.
102,JOHN IS GO KING TO SEE CAT,0093,f,6,7,8,10.0,7,9.3,10.0,10.0,10.0,2.3000000000000007,2.0,0.0,3.0,3.2891876697540283,John is go king to see Cat.
103,TWO NINE SIX FOUR,0093,f,6,9,9,10.0,9,9.8,10.0,10.0,10.0,0.8000000000000007,1.0,0.0,1.0,2.774139881134033,2964.
104,NINE EIGHT ONE SEEK,0093,f,6,8,8,10.0,8,9.3,9.8,10.0,9.8,1.3000000000000007,1.8000000000000007,0.0,1.8000000000000007,2.8235225677490234,981 Seek.
105,FOUR ONE FIVE TWO,0093,f,6,8,8,10.0,8,9.6,10.0,10.0,10.0,1.5999999999999996,2.0,0.0,2.0,2.769648551940918,4152.
106,NINE ONE FIVE SIX,0093,f,6,7,9,10.0,8,9.6,10.0,10.0,10.0,2.5999999999999996,1.0,0.0,2.0,3.069977283477783,9156.
107,SIX NINE TWO SIX,0093,f,6,9,9,10.0,9,9.8,10.0,10.0,10.0,0.8000000000000007,1.0,0.0,1.0,3.651099681854248,6926.
108,EIGHT ONE FOUR ZERO,0093,f,6,8,8,10.0,9,9.7,10.0,10.0,10.0,1.6999999999999993,2.0,0.0,1.0,2.683286666870117,8140.
109,TABLE BLACKS WORK,0093,f,6,8,9,10.0,8,9.399999999999999,10.0,10.0,10.0,1.3999999999999986,1.0,0.0,2.0,2.8091182708740234,Table blacks work.
110,DORA HAS A BIG FOOT,0093,f,6,9,8,10.0,9,9.200000000000001,10.0,10.0,10.0,0.20000000000000107,2.0,0.0,1.0,3.1406290531158447,Dora has a big foot.
111,MARY HAS A BEAUTIFUL STOCK,0093,f,6,8,8,10.0,7,9.6,9.9,10.0,9.9,1.5999999999999996,1.9000000000000004,0.0,2.9000000000000004,3.1361865997314453,Mary has a beautiful stock.
112,KATE LOVE NEW PANTS,0093,f,6,8,8,10.0,7,7.6,10.0,7.5,10.0,0.40000000000000036,2.0,2.5,3.0,3.2997069358825684,Kate love new pants.
113,JACKIE HAS A BEAUTIFUL GLOVES,0093,f,6,8,8,10.0,8,9.3,10.0,10.0,10.0,1.3000000000000007,2.0,0.0,2.0,3.0906782150268555,Jackie has a beautiful gloves.
114,LOOK AT MARY'S CAP,0093,f,6,8,8,10.0,8,9.1,9.9,10.0,9.9,1.0999999999999996,1.9000000000000004,0.0,1.9000000000000004,2.845479726791382,Look at Mary's cap.
115,BOBBY CAN SEE THE TIME A PARK,0093,f,6,8,8,10.0,8,9.3,10.0,10.0,10.0,1.3000000000000007,2.0,0.0,2.0,3.037332534790039,Bobby can see the time a park.
116,TINA LIFE IN NEW USUAL,0093,f,6,8,8,10.0,8,9.0,9.9,10.0,9.9,1.0,1.9000000000000004,0.0,1.9000000000000004,2.8734281063079834,Tina life in New Usual.
117,ANDY SHE BOOT IT,0093,f,6,7,8,10.0,7,8.6,9.9,10.0,9.9,1.5999999999999996,1.9000000000000004,0.0,2.9000000000000004,6.30672812461853,Andy she boot it.
118,IS THE ANY CAKE,0093,f,6,8,8,10.0,8,7.7,9.9,7.5,9.9,0.2999999999999998,1.9000000000000004,2.5,1.9000000000000004,3.4593286514282227,Is the any cake?
119,I'M A NOT PARROT,0093,f,6,9,8,10.0,8,9.200000000000001,9.8,10.0,9.8,0.20000000000000107,1.8000000000000007,0.0,1.8000000000000007,2.9814136028289795,I'm a not parrot.
120,LILLY IS GOING TO SEE ZEBRA,0094,m,6,9,9,10.0,10,9.8,10.0,10.0,10.0,0.8000000000000007,1.0,0.0,0.0,4.269256591796875,Lilly is going to see Zebra.
121,ANDY IS GOING TO SEE BIRD,0094,m,6,9,9,10.0,9,9.8,10.0,10.0,10.0,0.8000000000000007,1.0,0.0,1.0,5.821307182312012,Andy is going to see Bird.
122,LYNDA LIVES IN CANADA,0094,m,6,9,9,10.0,9,9.6,9.9,10.0,9.9,0.5999999999999996,0.9000000000000004,0.0,0.9000000000000004,2.931450843811035,Lynda lives in Canada.
123,TWO NINE NINE TWO,0094,m,6,10,10,10.0,10,9.8,10.0,10.0,10.0,0.1999999999999993,0.0,0.0,0.0,2.9709668159484863,2992.
124,EIGHT TWO ONE,0094,m,6,9,10,10.0,9,9.6,9.8,10.0,9.8,0.5999999999999996,0.1999999999999993,0.0,0.8000000000000007,2.9298219680786133,821.
125,ZERO ONE SEVEN SIX,0094,m,6,9,10,10.0,9,8.9,10.0,10.0,10.0,0.09999999999999964,0.0,0.0,1.0,2.887596607208252,0176.
126,FIVE EIGHT TWO NINE,0094,m,6,9,10,10.0,10,9.8,9.7,10.0,9.7,0.8000000000000007,0.3000000000000007,0.0,0.3000000000000007,2.980363607406616,5829.
127,TEDDY IS GOOD AT TENNIS,0094,m,6,9,10,10.0,9,9.200000000000001,9.9,10.0,9.9,0.20000000000000107,0.09999999999999964,0.0,0.9000000000000004,2.792135238647461,Teddy is good at tennis.
128,KATE LIKES RACING,0094,m,6,10,9,10.0,9,9.6,9.9,10.0,9.9,0.40000000000000036,0.9000000000000004,0.0,0.9000000000000004,2.798278570175171,Kate likes racing.
129,TOM GIVES UP GOLF,0094,m,6,8,9,10.0,9,8.4,9.1,7.5,9.1,0.40000000000000036,0.09999999999999964,2.5,0.09999999999999964,2.7250897884368896,Tom gives up golf.
130,DORA LIKES ROWING,0094,m,6,10,9,10.0,9,9.3,9.9,10.0,9.9,0.6999999999999993,0.9000000000000004,0.0,0.9000000000000004,3.201786994934082,Dora likes rowing.
131,LOOK AT MY HAND,0094,m,6,10,10,10.0,10,9.5,10.0,10.0,10.0,0.5,0.0,0.0,0.0,2.6507961750030518,Look at my hand.
132,HERE IS YOUR NEW PANTS,0094,m,6,7,9,10.0,9,8.7,9.0,8.0,9.0,1.6999999999999993,0.0,2.0,0.0,3.1076135635375977,Here is your new pants.
133,BILLY NEEDS NEW RAINCOAT,0094,m,6,9,9,10.0,9,9.5,10.0,10.0,10.0,0.5,1.0,0.0,1.0,3.1087634563446045,Billy needs new raincoat.
134,ALICE LOVES THE NEW COAT,0094,m,6,9,9,10.0,9,9.8,9.9,10.0,9.9,0.8000000000000007,0.9000000000000004,0.0,0.9000000000000004,3.057709217071533,Alice loves the new coat.
135,SO JAYME WENT ON TO THE PET SHOP,0094,m,6,9,9,10.0,9,9.8,10.0,10.0,10.0,0.8000000000000007,1.0,0.0,1.0,3.4997289180755615,So Jayme went on to the pet shop.
136,JAYME GOT THE EGGPLANT,0094,m,6,9,9,10.0,9,9.0,9.8,10.0,9.8,0.0,0.8000000000000007,0.0,0.8000000000000007,3.6262600421905518,Jayme got the eggplant.
137,JACK LIVES IN BERLIN NOW,0094,m,6,9,9,10.0,10,9.6,9.9,10.0,9.9,0.5999999999999996,0.9000000000000004,0.0,0.09999999999999964,2.9166810512542725,Jack lives in Berlin now.
138,WHAT KING,0094,m,6,9,10,10.0,10,8.0,10.0,10.0,10.0,1.0,0.0,0.0,0.0,4.09626030921936,What king?
139,IS IT THE TIGER THEN,0094,m,6,9,9,10.0,9,9.6,10.0,10.0,10.0,0.5999999999999996,1.0,0.0,1.0,2.8102223873138428,Is it the tiger then?
140,LISA LIKES BROWN,0096,m,6,8,7,10.0,7,8.9,9.8,10.0,9.8,0.9000000000000004,2.8000000000000007,0.0,2.8000000000000007,5.523841142654419,Lisa likes Brown.
141,MIKE HAS GOT THE GRAPE,0096,m,6,7,7,10.0,7,7.9,9.5,8.0,9.5,0.9000000000000004,2.5,2.0,2.5,3.6151010990142822,Mike has got the grape.
